"commitid","fileid","istestfile","authorid","authorteamid","added","removed","currCloc","currComplex","currDupLines","currDupBlocks","prevCloc","prevComplex","prevDupLines","prevDupBlocks","delta"
1,1267,0,68,4,2,2,403,57,143,11,403,57,143,11,0
2,1261,0,11,5,1,1,671,88,229,20,671,88,229,20,0
3,627,0,12,4,4,4,503,86,0,0,503,86,0,0,0
4,436,1,66,3,0,127,0,0,0,0,96,7,25,1,-1
4,437,1,66,3,0,75,0,0,0,0,51,5,25,1,-1
4,438,1,66,3,0,62,0,0,0,0,42,4,25,1,-1
4,1769,0,66,3,18,19,292,56,0,0,293,58,0,0,0
4,1848,1,66,3,0,205,0,0,0,0,148,6,0,0,0
4,1859,1,66,3,0,89,0,0,0,0,56,2,0,0,0
4,1860,1,66,3,0,150,0,0,0,0,106,6,0,0,0
4,1863,1,66,3,0,57,0,0,0,0,36,4,0,0,0
4,1868,1,66,3,0,127,0,0,0,0,89,4,0,0,0
5,1596,0,45,2,2,0,285,29,282,8,283,29,282,7,1
6,910,0,55,6,4,0,8931,1133,590,32,8927,1133,590,32,0
7,458,0,62,3,37,2,343,38,0,0,311,34,0,0,0
7,656,0,62,3,1,0,529,70,0,0,528,70,0,0,0
7,693,0,62,3,25,0,968,71,0,0,948,70,0,0,0
7,696,0,62,3,14,0,242,19,38,2,230,19,38,2,0
7,1345,0,62,3,6,2,145,17,0,0,141,17,0,0,0
8,1511,1,66,3,1,1,189,5,54,5,189,5,54,5,0
9,231,0,59,2,0,3,12,1,0,0,14,1,0,0,0
9,241,0,59,2,0,4,11,1,0,0,14,1,0,0,0
9,662,0,59,2,1,1,1086,145,73,3,1086,145,73,3,0
10,1740,0,60,3,33,76,2504,384,86,3,2545,383,86,3,0
10,1792,0,60,3,42,51,90,13,0,0,99,10,0,0,0
11,25,0,59,2,1,4,63,10,0,0,63,10,0,0,0
11,26,0,59,2,10,10,80,9,0,0,80,9,0,0,0
11,27,0,59,2,10,13,71,5,0,0,66,5,0,0,0
11,28,0,59,2,1,9,108,16,15,1,108,16,15,1,0
11,29,0,59,2,1,9,91,14,0,0,91,14,0,0,0
11,30,0,59,2,1,5,108,10,14,1,108,10,14,1,0
11,31,0,59,2,1,13,242,27,0,0,242,27,0,0,0
11,32,0,59,2,1,5,110,10,14,1,110,10,14,1,0
